ticker,date,time,direction,entry_price,exit_price,ko_level,orb_high,orb_low,outcome,exit_time,underlying_move_pct,turbo_pnl_sek,confluence,vwap_confirmed,trend_aligned,category,vol_ratio,vol_spike
XLV,2025-12-04,09:40:00,short,154.3000030517578,153.9199981689453,158.92900314331055,155.02999877929688,154.6649932861328,close,,0.24627665281706612,41.04610880284436,True,False,False,Sector ETF,1.13,False
XLU,2025-12-04,09:40:00,long,43.970001220703125,43.63750076293945,42.65090118408203,43.775001525878906,43.647499084472656,manual_exit,14:15,-0.7561984274112669,-126.03307123521115,False,True,True,Sector ETF,0.74,False
XLRE,2025-12-04,09:40:00,long,41.279998779296875,41.005001068115234,40.041598815917965,41.099998474121094,40.939998626708984,close,,-0.6661766456242242,-111.02944093737072,True,True,False,Sector ETF,0.47,False
GLD,2025-12-04,09:40:00,short,386.17999267578125,387.43499755859375,397.7653924560547,387.3800048828125,386.5899963378906,manual_exit,11:05,-0.3249792600897747,-54.16321001496245,True,True,False,Commodity,0.54,False
SLV,2025-12-04,09:40:00,short,51.69499969482422,51.7599983215332,53.245849685668944,52.36000061035156,52.13999938964844,close,,-0.12573484300744106,-20.955807167906844,False,True,False,Commodity,1.1,False
CEG,2025-12-04,09:40:00,long,366.73199462890625,368.6700134277344,355.73003479003904,361.0,358.5,close,,0.5284564279124851,88.07607131874754,True,True,True,XLU holding,1.13,False
DUK,2025-12-04,09:40:00,long,119.20999908447266,118.28500366210938,115.63369911193847,118.75,118.36000061035156,manual_exit,11:30,-0.7759377816183238,-129.32296360305398,False,True,False,XLU holding,0.61,False
EQIX,2025-12-04,09:40:00,long,735.0349731445312,721.1199951171875,712.9839239501953,731.9099731445312,722.0999755859375,manual_exit,13:05,-1.893104210785304,-315.5173684642173,False,True,False,XLRE holding,0.39,False
GEV,2025-12-04,09:40:00,long,613.8699951171875,629.2949829101562,595.4538952636718,611.0,602.9000244140625,close,,2.5127450300000618,418.79083833334363,True,True,True,XLI holding,1.07,False
JNJ,2025-12-04,09:40:00,short,204.11000061035156,202.47999572753906,210.2333006286621,204.86000061035156,204.1999969482422,close,,0.7985913859871074,133.09856433118458,True,False,False,XLV holding,0.69,False
MA,2025-12-04,09:40:00,short,551.3624877929688,542.280029296875,567.9033624267578,559.0,556.0,close,,1.6472753763952335,274.5458960658723,False,True,True,XLF holding,0.7,False
MRK,2025-12-04,09:40:00,short,101.19000244140625,100.88999938964844,104.22570251464845,102.5999984741211,101.63999938964844,close,,0.2964749921135028,49.412498685583806,False,True,False,XLV holding,0.58,False
NVDA,2025-12-04,09:40:00,long,181.875,183.39999389648438,176.41875,181.3800048828125,180.3300018310547,close,,0.8384846166237114,139.7474361039519,True,False,True,XLK holding,0.65,False
PLD,2025-12-04,09:40:00,long,130.36000061035156,128.85000610351562,126.44920059204101,129.75,128.89999389648438,manual_exit,11:30,-1.1583265570466963,-193.05442617444936,True,True,True,XLRE holding,0.54,False
SO,2025-12-04,09:40:00,long,88.25,87.5199966430664,85.60249999999999,87.87999725341797,87.58999633789062,manual_exit,12:05,-0.8271992713128541,-137.86654521880902,False,True,False,XLU holding,1.13,False
VZ,2025-12-04,09:40:00,long,41.21500015258789,41.275001525878906,39.97855014801025,41.11000061035156,40.814998626708984,close,,0.1455813977165499,24.26356628609165,True,True,True,XLC holding,0.74,False
